--- DEMARRAGE GO!EXPLORE ---
sceLocationOpen: 0x8010124F
[Frame 4080] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4140] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4200] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4260] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4320] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4380] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4440] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4500] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4560] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4620] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4680] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4740] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4800] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4860] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4920] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 4980] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5040] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5100] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5160] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5220] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5280] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5340] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5400] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5460] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5520] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5580] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5640] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5700] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5760] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5820] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5880] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 5940] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6000] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6060] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6120] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6180] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6240] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6300] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6360] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6420] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6480] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6540] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6600] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6660] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6720] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6780] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6840] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6900] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 6960] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7020] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
[Frame 7080] sceLocationGetLocation: 0x00000000 (Lat: 48.858370, Lon: 2.294481)
